Row.names	elt2D_sorted_1	elt2D_sorted_2	elt2D_sorted_3	elt2D_sorted_4	elt2Delt7D_sorted_1	elt2Delt7D_sorted_2	elt2Delt7D_sorted_3	wt_sorted_1	wt_sorted_2	wt_sorted_3	wt_sorted_4	elt7D_sorted_1	elt7D_sorted_2	elt7D_sorted_3	sequence_id_list	gene_id_val	transcripts	chr_ce10	strand_ce10	start_min_ce10	stop_max_ce10	chromosome_ce11	start_min_ce11	end_max_ce11	strand_ce11	product_refseq	symbol_refseq	gene_name	chr	start	stop	strand
1	WBGene00000001	9.17290447480072	9.24949591744829	9.2116596970001	9.34695863934763	9.37969750385632	9.21740340934635	9.10199651193982	8.95716124106898	8.85823845330551	8.84162268725989	8.92311079209845	8.50502813930171	8.56856928618848	8.51743838633772	Y110A7A.10	aap-1	NM_059121	chrI	+	5107847	5109950	I	5107844	5109947	+	NM_059121.7	aap-1	aap-1	I	5110164	5107843	1
2	WBGene00000002	7.50376030654456	7.28988389305234	7.38612705107901	7.26206344923297	7.90400770479953	7.87085173836421	7.76202304910878	7.48915867147233	7.38290514767812	7.51863099493782	7.49239855190567	7.37816756758237	7.58242477085688	7.51266791982784	F27C8.1	aat-1	NM_069306	chrIV	-	9599417	9601677	IV	9599434	9601694	-	NM_069306.4	aat-1	aat-1	IV	9601695	9598977	-1
3	WBGene00000003	8.66929850557588	8.59384716570328	8.75383450237498	8.78126679250502	8.79101807840458	8.79519085906134	8.93672371756585	9.06181008173293	8.74858870387812	9.2954969820111	9.28683446335268	9.48036051216063	9.45138395013177	9.00893774915346	F07C3.7	aat-2	NM_072993	chrV	-	9244657	9246329	V	9244680	9246352	-	NM_072993.5	aat-2	aat-2	V	9246360	9244412	-1
4	WBGene00000004	10.3030624586951	10.2967679396184	10.3568201500622	10.366511525631	10.3324887777685	10.2236749105965	10.5974070164489	10.9165586695765	10.7862002773463	11.0104296636762	10.8266569215253	10.8368267161385	10.8065339158823	10.8194968537046	F52H2.2	aat-3	NM_076060	chrX	+	2554231	2557468	X	2554238	2557475	+	NM_076060.4	aat-3	aat-3	X	2557725	2552436	1
5	WBGene00000005	2.95332489434732	2.83545147187671	2.88684151314514	2.97965023011115	2.49941211620983	2.76340544604824	2.42825501975035	2.99077694031846	2.86404416680671	3.11614403011494	2.7155019168473	2.58408134208512	2.88164247961987	2.82752596683212	T13A10.10	aat-4	NM_001028211	chrIV	-	6272733	6275702	IV	6272744	6275713	-	NM_001028211.3	aat-4	aat-4	IV	6275713	6272591	-1
6	WBGene00000007	4.68323677263791	4.79765977173711	4.49525183815182	4.59304659496605	4.60223502836741	4.6418322078841	4.47689906337159	5.79906579264181	6.0267795868354	5.83142014664693	6.0728361121573	5.69926081455754	5.49267725268529	5.22037843500154	T11F9.4	aat-6	NM_001129542	chrV	-	11466952	11469146	V	11466970	11469164	-	NM_001129542.2	aat-6	aat-6	V	11470663	11466842	-1
7	WBGene00000008	1.13975522788315	1.01141781433354	1.13689222404899	1.0452531935661	1.03121457441362	1.11687436394411	1.0563237504449	1.74352307583065	1.49168863882134	1.49046401843906	1.46848742319583	1.23226319022697	1.15349835673948	1.24633855298686	F54D12.3	aat-7	NM_061559	chrII	+	1386895	1391574	II	1386888	1391567	+	NM_061559.3	aat-7	aat-7	II	1391567	1386888	1
8	WBGene00000009	3.92320122745234	4.09560765535997	3.98484844435171	4.31056617426685	2.81229686189605	3.17671511553274	2.9175192053962	3.6199148633283	3.51392597566779	3.40420952462478	3.18940635277606	3.58632172409764	3.5050495253106	3.74029033912764	F28F9.4	aat-8	NM_068024	chrIV	-	3862123	3865024	IV	3862129	3865030	-	NM_068024.2	aat-8	aat-8	IV	3865030	3862129	-1
9	WBGene00000010	7.74711681517757	7.7773821773792	8.02387926243212	7.88265452539391	7.7316953802771	7.87974122764795	8.13559258036079	6.76544830420548	7.07769592784699	7.03480923083725	7.12413400109666	7.43060291144989	7.61598037084351	7.42201683563592	Y53H1C.1	aat-9	NM_001026617,NM_001026618	chrI	-	11389132	11396649	I	11389141	11396658	-	NM_001026617.3,NM_001026618.3	aat-9	aat-9	I	11396660	11388747	-1
10	WBGene00000012	1.50192227760958	1.53915973233115	1.49794582876072	1.63578924856329	1.71512845980551	1.89093368436128	1.5146145312886	1.5484714775973	1.32721940631455	1.56143503585866	1.39962525706367	1.66291430296857	1.60126951406078	1.43959775021609	C50F2.9	abf-1	NM_058852	chrI	-	3886114	3887083	I	3886111	3887080	-	NM_058852.5	abf-1	abf-1	I	3887080	3886111	-1
